Name	Tags	Image	Description
Beautiful World	Iceberg, Layer5, BeautifulWorld	https://hips.hearstapps.com/esq.h-cdn.co/assets/16/51/1482598255-vin-diesel.jpg?resize=640:*	Back in 2016 Vin Diesel was drunk out of his mind and decided it would be a good idea to be an absolute creep to a cute girl who was trying to interview him. The interview devolved into him harassing her again and again. One such line that he used was 'When did this turn into beautiful world?!'
Mayo Memes	Iceberg, Layer9, MayoMemes	https://pbs.twimg.com/media/E1TPT_QXsAA9nuW.jpg	Mayo Meme's are a thing of the past. Sure, these days you might hear a passing reference to "Mayoing Dan's Dome", or perhaps a Thanksgiving food that contains mayo. But make no mistake, there was a time early on in the podcast when Mayo Meme's REIGNED SUPREME. And they all began in an unexpected place... With Horsey Sauce.
Andrew Tate Cease & Desist	Iceberg, Layer6, AndrewTateCeaseandDesist	https://i.kym-cdn.com/entries/icons/original/000/043/388/andrewtateshocked.jpg	Ethan used to talk about Andrew Tate A LOT, making it very clear that he is a terrible human being that should be in jail for sex trafficking. Andrew did not appreciate this and, apparently, had enough and send a Cease and Desist declaring they STOP TALKING ABOUT ANDREW. They did not stop talking about Andrew.
Brad the Bull	Iceberg, Layer5, BradtheBull	https://pbs.twimg.com/profile_images/1224544224919486464/j8AEy4IN_400x400.jpg	Ryan Kavanaugh is many things. Among those, he is a man who loves to be CUCKED (allegedly). Brad the Bull is a mighty man that did just that and bulled his wife. Well, ex-wife. During the interview with Bryce Hall Ethan's dream finally came true and he came face-to-facetime with Brad himself! And from that came one of the best one-liners the show has ever seen. I'll let you experience it for yourself.
Craigsmas	Iceberg, Layer3, Craigsmas	https://media.tenor.com/iXBrjvLDz3QAAAAe/craigsmas-craigsmas-h3.png	Craigsmas began in December of 2020. It began with Ian trying to buy the crew ridiculous items for CHEAP on Craigs List. It has since become a tradition, the items each year getting increasingly more cursed. Unfortunately, Craigsmas did not happen in 2024, and with Ian now having left the show, it may never return again...
Content Court	Iceberg, Layer2, ContentCourt	https://i.ytimg.com/vi/XsI2yDSZjOY/maxresdefault.jpg	While Content Court has seen a slight resurgent recently, there was a time when Content Courts were dropping on the regular. It consisted of the crew in a courtroom with a plaintiff and a defendant. They would pick a content creator and present their cases on whether or not they should be charged. But Judge Ethan is not easily convinced.
I just peed in my basement	Iceberg, Layer5, IJustPeedinmyBasement	https://cdn.vox-cdn.com/thumbor/1DSbJRHImpS7XzZOOZWAtjDuDSg=/1400x1400/filters:format(png)/cdn.vox-cdn.com/uploads/chorus_asset/file/9767163/Screen_Shot_2017_11_28_at_12.59.38_PM.png	The Quartering is a right-leaning YouTuber that gets brought up fairly frequently on the show, and he's... A character, to put it lightly.  One day his wife went out for pizza without him and in retaliation he decided he would do the unthinkable - PEE IN HIS BASEMENT. He is also shit himself in Wal-Mart.
Dink Doink	Iceberg, Layer4, DinkDoink	https://i.ytimg.com/vi/ZIwz3JbnqAc/maxresdefault.jpg	Dink Doink was crytocurrency created by Jake Paul, and yet another scam to suck his fans dry. To help advertise it they made a bunch of god-awful animations in the style of South Park because... Why not? They also sang during these, and the songs are horrendous. But at the same time, they kinda hit, huh?
The Ban of Ethan Klein	Iceberg, Layer8, thebanofethanklein.com	https://i.ytimg.com/vi/J6_kP1HuepQ/hq720.jpg	A website made by Ryan Kavanaugh to attempt to counter DoesRyanKavanaughLookLikeHarveyWeinstein.com. It only lasted a few months, and is no longer active.
Arab World News	Iceberg, Layer6, ArabWorldNews	https://awn.group/wp-content/uploads/2023/08/cropped-AWN-Logo-for-Website.gif	For a time, Arab World News was the official news correspondent of the H3 Podcast. Always up-to-date with the latest takes, and never afraid to give gripping coverage that will keep you coming back! Unfortunately his channel has since been removed from YouTube, and we haven't heard much from him since. Oh, also, Jimmie Lee made camel jokes toward him because of course he did.
AI Ian	Iceberg, Layer6, AiIan	https://pbs.twimg.com/profile_images/1301590674647724040/cXaTOace_400x400.jpg	In September of 2020 an Artificial Intelligence of Ian was created. He was faulty straight from the get go and a bit of a dick, but they kept him around for awhile, and he made a hell of a public defender on Content Court.
