title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
Deedee Megadoodoo	BriannaClark_DeeDeeMegaDooDoo.mp3	Podcast	136	08-20-2019	551	Brianna Clark	https://youtu.be/ulfHGdz6KB8&t=551	
Holy shit fuck balls	BritneySpears_HolyShitFuckBalls.mp3	H3TV	19	12-06-2021	6828	Britney Spears	https://youtu.be/Ev37IedFjMU&t=6828	
Holy shit wow fucking balls ay	BritneySpears_HolyShitWowFuckingBallsAy.mp3	H3TV	19	12-06-2021	6836	Britney Spears	https://youtu.be/Ev37IedFjMU&t=6836	
The whistle goes WOOOOOO!	BubbRubbAndLilSis_TheWhistlesGoWoo.mp3	H3Show	2	04-24-2024	11649	Bubb Rubb & Lil Sis	https://youtu.be/x2cyP6KJ0Uc&t=11649	
♪ Whistle Goes Woo Zelda Version ♪	BubbRubb_ZeldaMix.mp3	Unknown	1	05-05-2015	0	Bubb Rubb & Lil Sis	https://youtu.be/zOYZ3XMGjUM&t=0	
Hold my fart like a bong rip	CandaceOwens_AndHoldMyFartLikeABongRip.mp3	OTR	109	03-20-2024	420	Candace Owens	https://www.youtube.com/watch?v=VN3bWz5HfBI&t=420	
I want you to give me rimjob	CandiceOwens_Rimjob.mp3	OTR	109	03-20-2024	420	Candace Owens	https://www.youtube.com/watch?v=VN3bWz5HfBI&t=420	
CORONA VIRUS!!	CardiB_Coronavirus.mp3	Unknown	1	05-05-2015	0	Cardi B	https://youtu.be/zOYZ3XMGjUM&t=0	
BITCONNNNECT	CarlosMatos_BITCONNNNECT.mp3	H3H3Productions	2	01-23-2018	49	Carlos Matos	https://youtu.be/EhL2OWXZ26s&t=49	
Hey hey heyyyy	CarlosMatos_HEYHEYHEYYYY.mp3	H3H3Productions	2	01-23-2018	36	Carlos Matos	https://youtu.be/EhL2OWXZ26s&t=36	
I am so excited	CarlosMatos_ImSoExcited.mp3	H3H3Productions	2	01-23-2018	92	Carlos Matos	https://youtu.be/EhL2OWXZ26s&t=92	
Mmmm NO NO NO	CarlosMatos_MmmMmmNoNoNo.mp3	H3H3Productions	2	01-23-2018	113	Carlos Matos	https://youtu.be/EhL2OWXZ26s&t=113	
THE WORLD IS NOT ANYMORE THE WAY THAT IT USED TO BE!	CarlosMatos_TheWorldIsNotTheWayItUsedToBe.mp3	H3H3Productions	2	01-23-2018	110	Carlos Matos	https://youtu.be/EhL2OWXZ26s&t=110	
What am I gonna do	CarlosMatos_WhatAmIGonnaDo.mp3	H3H3Productions	2	01-23-2018	356	Carlos Matos	https://youtu.be/EhL2OWXZ26s&t=356	
WHATSA WHATSA WHATSA WHATSA WHATS UP	CarlosMatos_WhatsUp.mp3	H3H3Productions	2	01-23-2018	44	Carlos Matos	https://youtu.be/EhL2OWXZ26s&t=44	
If I see a black pilot...	CharlieKirk_IfISeeABlackPilot.mp3	H3TV	105	01-29-2024	5772	Charlie Kirk	https://www.youtube.com/watch?v=k1VrTaTohWA&t=5772	
Chet Hanks Joker Laugh	ChetHanks_Laugh.mp3	AfterDark	34	04-30-2021	8328	Chet Hanks	https://www.youtube.com/watch?v=ISvqL4D7SL4&t=8328	
BOSS MAN BIDEN	ChetHanks_BOSSMANBIDEN.mp3	AfterDark	12	11-13-2020	4589	Chet Hanks	https://www.youtube.com/watch?v=g3gkFORfTZA&t=4589	
PUSSYCLAT	ChetHanks_PUSSYCLOT.mp3	AfterDark	12	11-13-2020	4572	Chet Hanks	https://www.youtube.com/watch?v=g3gkFORfTZA&t=4572	
SYKE	ChetHanks_SYYKE.mp3	AfterDark	12	11-13-2020	4568	Chet Hanks	https://www.youtube.com/watch?v=g3gkFORfTZA&t=4568	
*The RING DINGER*	Chiropractor_TheRingDinger.mp3	H3Show	4	04-29-2024	933	Chiropractor	https://youtu.be/XPR4gCC10jc?t=933	
So no cookies for you?	ChrisHansen_NoCookies.mp3	Unknown	1	05-05-2015	0	Chris Hansen	https://youtu.be/zOYZ3XMGjUM&t=0	
Fart Joke!	ColleenBallinger_FartJoke.mp3	H3TV	82	07-10-2023	7978	Colleen Ballinger	https://youtu.be/eb8z8kaekfw&t=7978	
